date,value
Jan 2011,3
Feb 2011,0
Mar 2011,0
Apr 2011,0
May 2011,0
Jun 2011,0
Jul 2011,0
Aug 2011,0
Sep 2011,1
Oct 2011,2
Nov 2011,1
Dec 2011,0
Jan 2012,2
Feb 2012,4
Mar 2012,6
Apr 2012,8
May 2012,5
Jun 2012,6
Jul 2012,7
Aug 2012,2
Sep 2012,3
Oct 2012,7
Nov 2012,4
Dec 2012,1
Jan 2013,12
Feb 2013,13
Mar 2013,17
Apr 2013,35
May 2013,32
Jun 2013,23
Jul 2013,12
Aug 2013,21
Sep 2013,15
Oct 2013,16
Nov 2013,34
Dec 2013,18
Jan 2014,37
Feb 2014,34
Mar 2014,22
Apr 2014,12
May 2014,23
Jun 2014,12
Jul 2014,21
Aug 2014,43
Sep 2014,23
Oct 2014,21
Nov 2014,13
Dec 2014,19
Jan 2015,23
Feb 2015,26
Mar 2015,42
Apr 2015,21
May 2015,23
Jun 2015,34
Jul 2015,24
Aug 2015,43
Sep 2015,21
Oct 2015,24
Nov 2015,25
Dec 2015,26
